,Title,Published_date,Views,Likes,Favorites,Comments,Month
0,Sei Canvas | Andul 2 | Ep 17 | Bengali Psychological Thriller | Mirchi Bangla Originals,2025-08-19,2750,87,0,1,Aug
1,Haar Heem Horror | Season 4 | Laal Ghori | EP 41 | Bangla Horror Story | Mirchi Bangla,2025-08-19,6840,270,0,25,Aug
2,Sudur Jharnar Jole | Neellohit | Golpo Goldmine | Mirchi Bangla | Ep 1 | Romantic Audio Serial,2025-08-19,21125,839,0,49,Aug
3,Sei Canvas | Memory | Ep 16 | Bengali Psychological Thriller | Mirchi Bangla Originals,2025-08-18,3177,86,0,8,Aug
4,Krishna Katha | Uddhab Geeta | Times of Puraan | Mirchi Bangla | Episode 37,2025-08-18,7314,332,0,34,Aug
5,Sunday Suspense | Hatyashastra | Chanakya Series | Abhigyan Ganguly | Mirchi Bangla,2025-08-17,377873,10015,0,864,Aug
6,Sunday Suspense Classics | Ekhane Andhakar | Baisali Dasgupta Nandi | Mirchi Bangla Audio Story,2025-08-16,60493,1224,0,76,Aug
7,Celebrating One Year of Pratham Aalo on Golpo Goldmine! #shorts,2025-08-16,6760,336,0,11,Aug
8,সৌভিকদা আর @mirchiagni -এর মধ্যে বেঁধে গেল ঝামেলা?,2025-08-16,9501,327,0,7,Aug
9,What the comment? Episode 5 #shorts,2025-08-16,4891,108,0,2,Aug
10,Chakde India or Lagaan? Which one is your pick? #shorts,2025-08-15,7776,160,0,14,Aug
11,Apnar sob theke priyo bondhutter smriti ki? #shorts,2025-08-15,4217,117,0,0,Aug
12,অজিতের কণ্ঠে শুনুন স্বাধীনতার বার্তা।কলমে শরদিন্দু বন্দ্যোপাধ্যায় । #shorts,2025-08-15,5375,240,0,6,Aug
13,Barnandho | Satyajit Ray | Friday Classics | Mirchi Bangla Audio Story,2025-08-15,64668,1936,0,74,Aug
14,Sei Canvas | Haradhan Babu | Ep 15 | Bengali Psychological Thriller | Mirchi Bangla Originals,2025-08-15,3341,85,0,1,Aug
15,Haar Heem Horror | Season 4 | Neel Saree | EP 40 | Bangla Horror Story | Mirchi Bangla,2025-08-15,16297,542,0,28,Aug
16,Celebrating 1 year of Pratham Aalo on Mirchi Bangla!,2025-08-15,5417,180,0,6,Aug
17,Tarpor Ki Holo? Ep: 4 Featuring Rwitobroto,2025-08-15,5673,203,0,5,Aug
18,ব্যোমকেশ অজিত ও মির্চি বাংলার তরফ থেকে স্বাধীনতা দিবসের শুভেচ্ছা।#independenceday #independenceday,2025-08-14,9330,874,0,29,Aug
19,Apnar priyo bondhutter smriti ki? #shorts #mirchioriginals,2025-08-14,8444,213,0,4,Aug
20,Sei Canvas | Andul | Ep 14 | Bengali Psychological Thriller | Mirchi Bangla Originals,2025-08-14,2154,76,0,6,Aug
21,হঠাৎ করে কী হলো সৌমেনের ?,2025-08-14,5775,236,0,16,Aug
22,কাকাবাবু - সন্তু জুটি ফিরছে অভিজ্ঞান গাঙ্গুলির লেখা হত্যাশাস্ত্রে !,2025-08-14,12467,641,0,20,Aug
23,Apnar kachhe apnar sob cheye priyo bondhutter smriti ki?,2025-08-14,2996,96,0,0,Aug
24,Tin Tirikke Dawsh | Anick Modak | Bengali Audio Drama | Mirchi Bangla Originals,2025-08-14,122044,2857,0,243,Aug
25,Swadhinotar Mashe Episode 6: ft. Shibashis Bandyopadhyay,2025-08-14,4675,233,0,5,Aug
26,Mirchi Pocket Stories: Episode 4💕,2025-08-14,6455,295,0,6,Aug
27,Rimjhim | Saradindu Bandyopadhyay | Golpo Goldmine | Mirchi Bangla | Ep 4 | Romantic Audio Drama,2025-08-14,42589,1913,0,157,Aug
28,Sei Canvas | Journey | Ep 13 | Bengali Psychological Thriller | Mirchi Bangla Originals,2025-08-13,4266,125,0,11,Aug
29,Krishna Katha | Abadhhut Dattatreyo | Times of Puraan | Mirchi Bangla | Episode 36,2025-08-13,10256,393,0,32,Aug
30,Sei Canvas | Investigation | Ep 12 | Bengali Psychological Thriller | Mirchi Bangla Originals,2025-08-13,2037,84,0,1,Aug
31,Apnar kachhe apnar sob cheye priyo bondhutter smriti ki?,2025-08-12,8290,397,0,26,Aug
32,আদিম রিপু পড়তে গিয়ে ব্যোমকেশকে নতুন ভাবে চিনলেন  Gaurav Chakrabarty!,2025-08-12,24437,1339,0,35,Aug
33,এই সপ্তাহে সানডে সাসপেন্সে আসছে….#sundaysuspense,2025-08-12,16523,816,0,44,Aug
34,"সামনেই জন্মাষ্টমী, তার আগে কৃষ্ণকথায় শুনুন কৃষ্ণের জন্মবৃত্তান্ত !",2025-08-12,4026,116,0,3,Aug
35,Haar Heem Horror | Season 4 | Mrityulok | EP 39 | Bangla Horror Story | Mirchi Bangla,2025-08-12,14656,530,0,29,Aug
36,3 Million-এর খুশিতে কান টান উত্তেজনা হবে তিন গুণ! সানডে সাসপেন্সে ফিরছেন Anirban Bhattacharya !,2025-08-12,42243,2989,0,100,Aug
37,Apnar kachhe apnar sob cheye priyo bondhutter smriti ki?,2025-08-12,5599,238,0,6,Aug
38,বিবিসি রেডিও নিয়ে অদ্ভুত এক ব্যক্তিগত স্মৃতিচারণ করলেন ডাক্তার কৌশিক লাহিড়ী। #shorts,2025-08-12,4683,201,0,5,Aug
39,Rimjhim | Saradindu Bandyopadhyay | Golpo Goldmine | Mirchi Bangla | Ep 3 | Romantic Audio Drama,2025-08-12,48867,1783,0,103,Aug
40,Sei Canvas | Kolkata | Ep 11 | Bengali Psychological Thriller | Mirchi Bangla Originals,2025-08-11,2851,105,0,3,Aug
41,The Scarlet Letter is now streaming on the Mirchi Bangla Youtube Channel & Gaana App,2025-08-11,25099,1662,0,6,Aug
42,Krishna Katha | Kurukshetre Radhakrishner Milon | Times of Puraan | Mirchi Bangla | Episode 35,2025-08-11,10120,441,0,34,Aug
43,Swadhinotar Mashe Episode 5 Ft. Shibashis Bandyopadhyay,2025-08-11,18232,1181,0,9,Aug
44,Sunday Suspense | Byomkesh Bakshi | Adim Ripu | Saradindu Bandyopadhyay | Mirchi Bangla Audio Story,2025-08-10,1087268,18390,0,1501,Aug
45,Sunday Suspense Classics | Wind Chime | Sayak Aman | Mirchi Bangla Audio Story,2025-08-09,218042,4056,0,188,Aug
46,"সামনেই জন্মাষ্টমী, তার আগে কৃষ্ণকথায় শুনুন কৃষ্ণের ছোট্টবেলার বিভিন্ন গল্প!",2025-08-09,5570,137,0,4,Aug
47,What The Comment? Episode-4 ft. Arunima 😎 #shorts #funny,2025-08-09,8927,356,0,7,Aug
48,Rimjhim | Saradindu Bandyopadhyay | Golpo Goldmine | Mirchi Bangla | Ep 2 | Romantic Audio Drama,2025-08-09,57292,1803,0,96,Aug
49,"#WorldClassics-e shunun The Scarlet Letter, streaming now on the Mirchi Bangla Youtube Channel!",2025-08-09,6831,139,0,3,Aug
50,Eki! Recording-er aagey 3 obhinetar modhye ki niye jhamela laglo?,2025-08-09,51654,1383,0,26,Aug
51,Apnar kachhe apnar sob cheye priyo bondhutter smriti ki? #MirchiOriginals,2025-08-09,18447,1283,0,13,Aug
52,Swadhinotar Mashe Episode 4 ft. Shibashis Bandyopadhyay,2025-08-09,5971,264,0,3,Aug
53,Gaurav Byomkesh Chakrabarty er kachhe sobcheye sera criminal ke? #shorts,2025-08-08,17770,1040,0,24,Aug
54,#sundaysuspense -e ei shoptahe thakchhe ekti chomok!,2025-08-08,15477,749,0,12,Aug
55,"#WorldClassics e shunun, The Scarlet Letter aar shonge thakben Deep Kaizar Basu!",2025-08-08,9484,411,0,7,Aug
56,#MirchiOriginals-এর গল্পে প্রথমবার গল্প কথকের ভূমিকায় সত্যম ভট্টাচার্য!,2025-08-08,10408,513,0,11,Aug
57,The Scarlet Letter | Nathaniel Hawthorne | World Classics | Mirchi Bangla,2025-08-08,74663,1866,0,119,Aug
58,Sei Canvas | Bhoy | Ep 10 | Bengali Psychological Thriller | Mirchi Bangla Originals,2025-08-08,3762,124,0,1,Aug
59,Haar Heem Horror | Season 4 | Debota | EP 38 | Bangla Horror Story | Mirchi Bangla,2025-08-08,31597,893,0,47,Aug
60,Ekti Dhusar Rupkatha Part 2 | Full Story | Romantic Drama Story | Mirchi Bangla,2025-08-07,15319,321,0,48,Aug
61,Sei Canvas | The Doctor | Ep 9 | Bengali Psychological Thriller | Mirchi Bangla Originals,2025-08-07,3585,127,0,8,Aug
62,"বঙ্গভঙ্গ আন্দোলন, রাখী উৎসব, রবীন্দ্রনাথ এবং অবনীন্দ্রনাথ সব একই সূত্রে গাঁথা!",2025-08-07,30532,2500,0,19,Aug
63,কোরকের হঠাৎ মন খারাপ কেন ? #shorts,2025-08-07,25741,745,0,22,Aug
